attach,https://wallet2.iota.town:443 score: 67.42250497341155 scoreNorm: 0.29009908426003317
378279,60689,0
135010,326165,1
63595,349919,2
371052,578,3
278923,50246,4
217517,51540,5
101653,124873,6
146756,116899,7
106490,201800,8
27456,241034,9
113585,240821,10
45446,279140,11
234339,135885,12
170414,143791,13
459434,4202,14
257944,203755,15
130050,409739,16
479957,588,18
191078,339449,19
154628,380069,20
93515,383272,21
62218,387460,22
194974,114382,24
287574,88278,23
510584,300799,17
300737,17554,25
237820,37778,26
137704,113381,27
35579,278871,28
142059,196655,29
35120,298089,30
44878,230,35
250917,138130,31
47116,329020,32
16342,346399,33
285043,164670,34
44442,508768,36
537736,102,37
17370,434791,38
379356,52284,39
324381,61727,40
260179,87048,41
199547,113920,42
