attach,VVW9XX9EVAKRCMDDMJGGNLNO9VGXJYGUURHGNGIIEXLYVBBBJYHHNWX9V9LNU9ZXKYQRTCPTASOYNSO9U https://node-iota.org:14267 score: 0.32006305239055793
71893,0
171976,1
-1,6
-1,7
-1,8
163791,3
289049,2
-1,4
-1,9
-1,5
-1,16
-1,17
-1,18
-1,19
-1,20
-1,21
-1,14
-1,23
-1,22
-1,15
-1,11
746828,10
-1,24
-1,25
-1,27
719397,12
-1,26
742371,13
-1,29
-1,31
-1,30
-1,36
-1,35
-1,37
378902,28
-1,38
406552,33
-1,40
-1,41
604783,32
639768,34
-1,42
-1,39
