attach,ANHTLI9DZUKEDLKGTBNFPYASHWERVJCNBBSHKBQUNYPTMVEHFIEEPP9RHQDHDKIFTECLPOIOCUNCTAZTF https://iota.chain.garden:443 score: 0.02731154295345241
24662,0
147694,1
-1,5
364407,2
449791,3
-1,4
-1,8
-1,7
-1,9
-1,10
-1,12
595217,6
-1,15
-1,16
-1,17
-1,18
-1,19
-1,11
-1,20
-1,21
498573,13
-1,22
-1,23
-1,14
-1,26
-1,27
-1,28
-1,29
-1,30
-1,31
-1,32
-1,24
-1,33
-1,35
-1,36
-1,25
-1,34
-1,41
-1,42
-1,43
-1,38
-1,39
-1,37
-1,40
577843,44
