attach,http://117.102.178.102:14265 score: 11.376848045302314 scoreNorm: 0.050179058216088125
1548,447,0
1312,419,1
2155,442,2
1155,449,3
1387,435,4
1275,435,5
1206,444,6
1404,452,7
1024,440,8
1546,439,9
1317,437,10
1225,442,11
1225,444,12
1365,438,13
1278,438,14
1226,441,15
1394,420,16
1220,425,17
1181,444,18
8686,438,19
1467,437,20
1420,423,21
3315,434,22
1338,427,23
1646,453,24
1323,421,25
11055,442,26
1576,458,27
1409,422,28
1584,431,29
14718,433,30
1361,419,31
14121,447,32
1477,440,33
2149,441,34
7645,436,35
1348,422,36
14668,423,37
1174,433,38
23026,419,39
17091,428,40
7090,438,41
12788,424,42
