attach,MMYPJIRJTQMHOOJIUZUBBMS9IHVFPORQATNYKZJWSGKWXPSJUCGQETOS9TVBOKKMBFDYEFCRRDXMAPWYI https://node-iota.org:14267 score: 0.24211794754620608
4914,0
23377,1
27339,2
20044,3
-1,4
8272,5
5326,6
-1,8
-1,7
31333,9
34886,10
30172,11
12808,12
-1,13
-1,14
5842,15
23350,16
18539,17
-1,18
-1,19
30530,20
49820,21
3365,22
58258,23
42823,24
-1,25
24707,26
5137,27
-1,28
4463,29
8416,30
22441,31
20617,32
17141,33
-1,34
11939,35
9488,36
29005,37
57024,38
34149,39
30353,40
12474,41
13876,42
3484,43
10728,44
