attach,LNMYKIFNXBJQNGDFATLDQZPZAUSXNWVLIFXPIZII9ZFSKIXLSBKUEBVWEUYSNZT9ZEBLGO9SE9N9FPOEW https://nodes.iota.cafe:443 score: 0.04015470393111371
9294,0
6739,1
3977,2
7489,3
4108,4
16047,5
12551,6
-1,7
20302,8
7194,10
44620,9
33588,11
21072,12
12280,13
11235,14
24619,15
5243,16
14913,17
-1,18
-1,19
-1,20
20090,21
9857,22
47039,23
-1,24
32549,25
52656,26
53859,27
43123,28
23729,29
16662,30
20793,31
9310,32
13604,33
3375,34
16325,35
23156,36
56580,37
-1,38
-1,39
-1,40
-1,41
28931,42
1661,43
