attach,https://wallet1.iota.town:443 score: 106.69691757722335 scoreNorm: 0.45928205453883936
173299,30994,4
210485,45728,3
87148,402411,0
426382,123551,1
303470,272984,2
582128,54912,5
544641,125127,6
361648,330802,7
242964,438286,8
-1,-1,12
-1,-1,13
-1,-1,14
362005,353411,9
264021,488962,10
227809,574006,11
-1,-1,19
367248,368029,15
-1,-1,20
-1,-1,18
259574,509075,16
221115,579671,17
412768,303668,21
317149,438419,22
-1,-1,26
-1,-1,25
-1,-1,24
-1,-1,23
409840,395633,27
259576,519168,28
205824,573665,29
-1,-1,32
-1,-1,31
-1,-1,30
483190,193816,33
380645,250709,34
309764,293244,35
175170,357222,36
68189,379826,38
354380,85844,39
174014,218660,40
83524,257181,41
207727,96057,43
128085,135344,44
510391,189252,37
324821,166517,42
