attach,https://nodes.thetangle.org:443 score: 85.68276685393259 scoreNorm: 0.3688256239526749
426,689,0
554,18509,1
1513,5716,2
2198,2180,3
667,2243,4
544,1025,5
724,9937,6
593,9729,7
799,31389,8
557,25275,10
-1,-1,9
579,26034,11
431,2930,12
584,7278,13
547,12939,14
438,11260,15
642,2794,16
1326,14582,17
739,3213,18
450,877,19
516,6808,20
554,11093,21
696,21830,22
986,23985,23
356,882,25
1373,2631,26
671,1851,27
685,1366,28
492,3679,29
513,14356,30
657,20970,31
430,24223,32
-1,-1,24
502,610,33
544,9258,34
415,851,35
512,18352,36
-1,-1,37
658,3781,38
325,2186,39
367,6102,40
258,33826,41
472,2455,42
1126,1950,43
