attach,LGNGNRQMEEDFOZ9MQIDLPODMXLZFJM9OWVSCZGGGZXYARZSI9TTVWWYWHNWGJEGRNVWDUKRLBXWBQWKDS https://pow.iota.community:443 score: 0.4023117607947667
3081,0
2351,1
1669,2
1625,3
1948,4
8140,5
2317,6
2930,7
3472,8
1883,9
982,10
3056,11
2727,12
1503,13
5524,14
2003,15
4189,16
2575,17
4769,18
1784,19
2110,20
4207,21
1578,22
2403,23
3711,24
3517,25
4079,26
2618,27
5320,28
3030,29
1286,30
2080,31
8218,32
2582,33
2793,34
4255,35
1541,36
1496,37
3855,38
2825,39
3658,40
3513,41
4824,42
5705,43
3008,44
