attach,http://173.249.50.233:14265 score: 40.71593185109667 scoreNorm: 0.18115364593939523
51810,21490,1
104330,105321,0
89271,13029,2
-1,-1,4
55201,101211,3
8312,378,6
96353,40240,5
55074,22378,7
7213,30823,8
955,29,9
85683,4984,10
38810,93471,11
-1,-1,12
-1,-1,13
-1,-1,14
-1,-1,15
-1,-1,16
-1,-1,17
-1,-1,18
-1,-1,19
79358,29426,20
17040,46294,21
35284,107858,22
-1,-1,23
83055,76029,24
-1,-1,25
-1,-1,26
75353,74974,27
109284,59995,28
-1,-1,29
40382,99927,30
55787,55141,31
50691,54924,32
46578,1856,33
11519,94908,34
-1,-1,35
-1,-1,36
-1,-1,37
-1,-1,38
-1,-1,39
95612,39369,40
11309,29404,42
117476,14343,41
1043,31187,43
18198,31,44
