attach,http://167.86.108.113:14265 score: 0 scoreNorm: 0
5056,45,0
1767,30,1
1993,45,2
3948,48,3
1781,48,4
2029,36,5
17054,51,6
1979,49,7
2090,50,8
1798,31,9
1848,34,10
1815,49,11
2055,44,12
1866,45,13
1945,44,14
2242,52,15
1911,51,16
1855,36,17
1840,32,18
2040,48,19
1816,42,20
1799,44,21
1958,31,22
1932,46,23
1862,49,24
1920,40,25
1989,45,26
2096,32,27
2074,31,28
2127,31,29
1900,39,30
1995,23,31
2031,35,32
2188,40,33
1966,41,34
2111,34,35
2094,28,36
1928,21,37
2308,43,38
2092,42,39
1990,27,40
2156,41,41
2334,36,42
