attach,http://207.180.224.65:14265 score: 54.650581765919924 scoreNorm: 0.4639502659491242
75841,0
61075,1
96782,2
78576,3
117476,4
157446,5
152537,6
167184,7
195346,8
277213,9
204647,10
328287,11
338080,12
377777,13
375063,14
477999,15
445040,16
528842,17
606390,18
621057,19
624946,20
690870,21
852727,22
889466,23
887140,24
888673,25
983712,26
1055216,27
1058848,28
1186237,29
1304107,30
1316384,31
1414127,32
1567697,33
1559954,34
1598680,35
1733092,36
-1,43
-1,41
-1,38
-1,39
-1,40
-1,44
-1,42
-1,37
