attach,https://wallet1.iota.town:443 score: 117.794052028656 scoreNorm: 1
62920,0
80547,1
34490,2
17888,3
25198,4
46138,6
130369,5
106402,7
121514,8
102925,9
109758,10
66698,12
160059,11
69024,13
123835,14
102731,15
247763,16
294328,17
256890,18
273445,19
324068,20
359640,21
441108,22
520452,23
558704,24
614282,25
614895,26
672189,27
679611,28
712525,29
702483,30
-1,31
730276,32
755712,33
-1,35
-1,36
-1,34
-1,40
-1,39
-1,38
852598,37
-1,41
-1,44
993452,42
-1,43
