attach,https://hanspetzersnode.org:14267 score: 74.73930196277797 scoreNorm: 0.6344913064421622
35600,0
17988,1
13041,2
40685,3
33198,4
71842,5
56831,6
46700,7
104095,8
22798,9
48190,10
67002,11
38171,12
24468,13
58642,14
42307,15
106263,16
104735,17
162306,18
189194,19
219189,20
176936,21
147932,22
182673,23
171133,24
72555,26
172781,25
104141,27
119605,28
114907,29
72418,30
83540,31
194159,32
173665,33
136934,34
78170,35
65376,36
64516,37
54371,38
20492,39
11019,40
10281,41
31810,42
40832,43
22440,44
