attach,https://www.iotaqubic.us:443 score: 83.14755754361752 scoreNorm: 0.4072014999475744
1107,713,0
1159,697,1
1098,714,2
1002,707,3
1455,707,4
1169,713,5
1032,709,6
783,706,7
992,717,8
1135,709,9
982,1293,10
794,730,11
923,733,12
1160,728,13
1041,721,14
1101,687,15
1331,718,16
965,701,17
700,724,18
1193,728,19
1421,706,20
884,684,21
940,710,22
1205,733,23
1489,697,24
948,914,25
853,702,26
1586,740,27
1238,684,28
776,707,29
1661,711,30
1098,719,31
-1,-1,32
948,730,33
899,681,34
1663,722,35
1354,719,36
757,805,37
850,681,38
901,683,39
1241,712,40
1009,734,41
1139,710,42
-1,-1,43
1712,711,44
