attach,https://nodes.thetangle.org:443 score: 111.66208342477177 scoreNorm: 0.5468467048353903
1544,3487,0
664,4587,1
657,2661,2
1417,3354,3
966,1151,4
1446,8347,5
738,19734,6
651,25028,7
1206,29756,8
-1,-1,9
1392,1148,10
464,1116,11
1218,1272,12
-1,-1,13
756,5380,14
628,1437,16
1037,2766,17
456,1529,18
632,9311,19
6542,26701,20
1297,1302,21
714,5061,22
2978,1166,23
-1,-1,15
1009,924,24
617,7645,25
300,12710,26
749,18665,27
969,26177,28
1328,31020,29
667,1475,30
867,1365,31
3253,1232,32
8593,1900,33
525,1665,34
613,8306,36
47805,13492,35
1426,12925,37
1205,1841,39
1262,59353,38
19802,782,40
884,476,41
657,27793,42
