attach,https://nodes.thetangle.org:443 score: 107.93660353757022 scoreNorm: 1
2787,0
28485,1
13003,2
1875,3
3320,4
1347,5
2071,6
2618,7
9974,8
1198,9
2297,10
24257,11
1066,12
32756,13
23033,14
933,15
7786,16
2805,17
3772,18
15410,19
6211,20
705,21
2666,22
-1,23
-1,24
1885,25
1383,26
2144,27
1391,28
1172,29
4802,30
1442,31
2848,32
1435,33
3050,34
-1,35
987,36
5856,37
1923,38
2286,39
1359,40
2426,41
3659,42
8151,43
2807,44
