attach,https://wallet1.iota.town:443 score: 97.65797346288507 scoreNorm: 0.904771599829826
15449,0
69220,1
101416,2
100471,3
162368,4
139867,5
141127,6
133094,7
140605,8
174514,9
136829,10
97371,11
64558,13
147658,12
163753,14
131101,15
172937,16
220305,17
208786,18
242450,19
316811,20
332776,21
332091,22
331498,23
318478,24
338724,25
318936,26
423998,27
461091,28
478821,29
-1,31
672387,30
783220,32
758714,33
762801,34
-1,35
-1,36
-1,37
719955,38
717487,39
-1,42
-1,41
747251,40
748085,43
784255,44
