attach,https://nod3.theshock.de:443 score: 29.70373054796999 scoreNorm: 0.27519608339010604
4076,0
6740,1
24104,2
7298,3
14978,4
4496,5
8140,6
8890,7
13516,8
3981,9
13955,10
21360,11
10369,12
18434,13
13246,14
5521,15
11267,16
2467,17
4643,18
6821,19
8088,20
16066,21
15657,22
8255,23
6179,24
12875,25
12325,26
6546,27
3026,28
9343,29
10337,30
8536,31
8266,32
9197,33
13470,34
34910,35
18309,36
4641,37
12448,38
13161,39
3763,40
1558,41
18553,42
7065,43
3147,44
