attach,https://nodes.thetangle.org:443 score: 105.76223254257374 scoreNorm: 0.46098708659601567
6140,1758,0
1241,5841,1
751,6287,2
1045,3904,3
469,34930,4
364,5126,5
568,2472,6
563,3579,7
338,1941,8
362,2701,9
360,45895,10
7117,1481,11
1494,3413,12
258,8578,13
479,13767,14
506,3424,15
779,669,16
464,1485,17
2039,28556,18
1324,10336,20
1805,12825,21
315,19312,22
419,27870,23
597,46282,24
-1,-1,25
1440,1644,26
4278,1634,27
893,1638,28
-1,-1,19
949,644,29
562,9844,30
989,10858,31
720,21053,32
803,44860,33
2282,30822,34
556,6477,35
916,1970,36
628,1048,37
632,4931,38
550,775,39
541,6073,40
1168,9624,41
801,20560,42
1048,32821,43
1066,24705,44
