attach,https://nodes.thetangle.org:443 score: 104.21824213263693 scoreNorm: 0.44095887047193166
435,608,0
397,6060,1
544,1778,2
-1,-1,3
706,1503,4
1099,2002,5
1595,1589,6
2637,2242,7
691,3817,8
387,6042,9
554,18429,10
419,20088,11
19633,1284,12
925,610,13
724,1533,14
-1,-1,15
426,1408,16
576,3639,17
976,13744,18
600,38833,19
2445,24088,20
-1,-1,22
-1,-1,21
965,1047,23
633,445,24
968,2019,25
1039,1469,26
597,1612,27
910,9918,28
668,42607,29
3509,18902,30
1951,22219,31
7600,1155,33
637,1324,34
578,3646,35
1096,2913,36
998,984,37
2424,851,38
1346,7722,39
870,12522,40
1503,17951,41
1302,27265,42
-1,-1,32
26575,2304,43
488,1208,44
