attach,HL99OGKSAONRJPFPYEXCTYZ9LRY9ISZNEIFXX9UMIZQVZGUUSF9LVZUCGPVWRUPMKDBQBYNGGTKPNFOEA https://stirrlink.dyndns.org:14267 score: 0.013882314260917624
-1,1
-1,3
359273,0
181608,4
-1,7
395276,2
-1,8
-1,9
-1,11
320736,6
481598,5
-1,12
-1,14
-1,15
-1,16
322998,10
166157,13
-1,18
-1,19
-1,22
-1,23
-1,25
238302,20
439733,17
-1,24
297914,21
-1,27
-1,28
-1,29
371292,26
-1,30
-1,32
-1,36
-1,33
-1,37
-1,31
-1,38
-1,39
337347,34
372659,35
-1,40
-1,43
149867,41
321820,44
-1,42
