attach,OTBDCJJJZQIAJMUJWOKJJMIIDZGSAYITB9LOPVGTUHRJJHZYKZKIFEFTIWQWOLELUALGYVQSHFHDVPVKX https://nodes.iota.cafe:443 score: 0.26419912210133245
-1,0
-1,4
112559,2
333689,1
348606,3
-1,8
316507,5
338239,6
-1,9
378261,7
-1,10
-1,12
-1,13
252889,11
-1,18
309478,14
-1,21
361843,15
282765,17
-1,22
-1,23
205369,20
461292,16
-1,25
435195,19
-1,26
-1,30
135327,27
386741,24
-1,32
374574,28
-1,34
186665,33
-1,35
490913,29
370829,31
-1,37
-1,39
-1,43
-1,38
139432,41
-1,44
336941,40
376532,42
-1,36
