attach,JDHPEQCVDCESTBBC9OOIWFWHZFOFN9HIFQCDUCILVBZIDOFJVHCAJXEWYEGGOXXNQSPNHFXUSVYIGRJVT https://iotanode.world:14267 score: 0.227861403668932
54767,0
111317,1
106261,2
143328,3
186317,4
-1,6
133800,7
323586,5
-1,10
412627,8
-1,14
280878,11
227398,13
524851,9
-1,18
395032,12
-1,21
-1,22
325726,16
125976,19
452028,15
368069,17
-1,25
-1,26
474737,20
289800,23
-1,29
-1,30
419029,24
-1,31
-1,32
363478,27
382365,28
-1,34
-1,35
-1,36
-1,37
490395,33
-1,39
-1,41
-1,40
-1,42
373651,38
