attach,XLQGMNSANWGHQVHBNPOBGPDVCPZGRYHNDUELDUWRHXWQBCEVVAIJCXIDAWAB9CAWSUAQILJQHPYFTS9BC https://papa.iota.family:14267 score: 0.11089194603475638
42993,0
60661,1
117581,2
105627,3
185853,5
276969,4
312504,6
-1,7
333247,9
328366,10
407700,8
-1,12
-1,16
-1,14
405512,11
364901,13
-1,20
222693,19
-1,22
448787,15
-1,23
366231,17
335639,18
-1,26
-1,27
-1,21
-1,29
433956,24
476621,25
371055,28
-1,32
-1,34
423676,30
400916,31
373538,33
452921,35
-1,36
-1,37
-1,38
-1,39
-1,40
-1,42
-1,43
413721,41
