attach,X9Y9JQCALZAIWSIWZTEXVST9PEZPVKBKHDQZISRXSCLITLQBNMDFAZCJZVJJRFUKPAIYZUNOYUVHCQDNJ https://nodes.thetangle.org:443 score: 0.8222571632593055
-1,0
-1,2
-1,4
-1,5
-1,3
370116,1
-1,8
-1,9
242063,7
-1,10
-1,12
-1,6
-1,13
-1,16
321402,11
-1,18
-1,19
-1,20
432853,15
-1,17
-1,14
-1,24
-1,26
-1,25
301220,22
344820,21
-1,27
-1,29
-1,30
-1,31
415238,23
160274,28
151717,33
-1,39
-1,32
310892,35
-1,40
438493,34
301730,37
-1,41
368616,36
-1,44
485060,38
316544,42
392781,43
