attach,https://node.vanityfive.de:443 score: 3.0507043189965075 scoreNorm: 0.022454495208316685
21305,0
7832,1
2903,2
20181,3
10992,4
15304,5
2928,6
2246,7
26720,8
4998,9
6243,10
18752,11
18105,12
12696,13
3517,14
1787,15
2790,16
5118,17
17736,18
20079,19
10269,20
7552,21
10864,22
17520,23
10503,24
9903,25
20865,26
12956,27
7424,28
30518,29
33943,30
7398,31
54765,32
36871,33
4221,34
8330,35
8956,36
19119,37
20314,38
15284,39
23585,40
8682,41
4650,42
3610,43
17830,44
