id, latitude, longitude, timestamp, executionTime
0, -22.8951, -43.256, 2020-03-08T18:40:14.880Z, 35
1, -22.894, -43.2578, 2020-03-08T18:41:14.922Z, 58
2, -22.8949, -43.2624, 2020-03-08T18:42:33.948Z, 43
3, -22.8967, -43.2632, 2020-03-08T18:43:54.979Z, 42
4, -22.899, -43.2636, 2020-03-08T18:44:14.006Z, 62
5, -22.9007, -43.2666, 2020-03-08T18:45:14.011Z, 40
6, -22.9018, -43.2692, 2020-03-08T18:46:14.036Z, 37
7, -22.897, -43.2722, 2020-03-08T18:48:14.180Z, 38
8, -22.8964, -43.2726, 2020-03-08T18:49:14.235Z, 50
9, -22.8926, -43.2767, 2020-03-08T18:50:42.262Z, 39
10, -22.8921, -43.2775, 2020-03-08T18:51:13.285Z, 41
11, -22.892, -43.2794, 2020-03-08T18:52:13.292Z, 42
12, -22.8919, -43.2804, 2020-03-08T18:53:13.340Z, 38
13, -22.8919, -43.2818, 2020-03-08T18:54:13.372Z, 39
