attach,https://ultranode.iotatoken.nl:443 score: 67.58971584743924 scoreNorm: 0.5715754756833665
15157,0
1240,1
20239,2
13471,3
6977,4
7984,5
4592,6
42276,7
19756,8
6859,9
2678,10
7758,11
33400,12
25103,13
13809,14
3819,15
3077,16
31774,17
43480,18
3248,19
8276,20
3388,21
8607,22
21139,23
48973,24
34646,25
8281,26
23533,27
9563,28
4973,29
4361,30
58585,31
32844,32
68176,33
70673,34
39406,35
45320,36
62778,37
4741,38
32005,39
42635,40
18180,41
10170,42
