attach,https://node02.gubiota.ch:443 score: 36.488202496867615 scoreNorm: 0.33805216489109663
99171,0
82132,1
-1,2
-1,3
112080,4
91832,5
118324,6
82232,7
22809,8
55953,9
39652,10
-1,11
-1,12
187640,13
-1,15
-1,16
142039,14
-1,17
-1,18
-1,19
-1,20
-1,21
-1,22
-1,23
-1,24
162555,25
-1,26
-1,27
-1,28
-1,29
152367,30
128154,32
116057,31
57013,33
78524,34
84206,35
94492,36
123745,37
168603,38
163213,39
81100,40
114139,41
-1,43
-1,42
-1,44
