attach,https://nodes.thetangle.org:443 score: 89.05902667442065 scoreNorm: 0.4069178010799934
-1,-1,0
559,1032,1
438,2103,2
364,2795,3
426,1881,4
557,2533,5
905,1422,6
763,8504,7
1545,16501,8
441,25479,9
1561,2274,10
1276,14627,11
549,7494,12
576,14290,13
12098,5922,14
701,1056,15
636,5067,16
1527,13990,17
3773,18219,18
1416,21662,19
479,1779,20
778,2712,21
1536,1559,22
5667,7967,23
1286,1973,24
1187,3335,25
1252,6113,26
416,6454,27
1526,2457,28
923,1764,29
655,3600,30
678,2025,31
323,1371,32
2800,10283,33
867,22234,34
-1,-1,35
2168,24105,36
1536,4238,37
786,17850,38
662,294,39
644,861,40
-1,-1,41
755,7260,42
509,8190,43
1663,10042,44
