attach,https://pow.iota.community:443 score: 33.60675163567066 scoreNorm: 0.34958681698476346
4551,0
5605,1
7533,2
8795,3
7332,4
8026,5
2882,6
7963,7
2495,8
4953,9
3476,10
1774,11
5419,12
7901,13
3683,14
10042,15
5633,16
7213,17
4679,18
23547,19
2787,20
18011,21
10849,22
7383,23
11607,24
3154,25
14957,26
6143,27
9210,28
11272,29
2454,30
17106,31
10018,32
7272,33
20268,34
10816,35
10683,36
7481,37
2971,38
17744,39
9223,40
8215,41
5385,42
10180,43
4705,44
