attach,https://wallet2.iota.town:443 score: 81.03868024349212 scoreNorm: 0.8429869862488746
96468,0
444615,2
649218,3
687504,4
-1,1
-1,5
-1,8
-1,9
788361,6
-1,10
-1,7
-1,17
-1,16
-1,15
-1,18
-1,19
-1,14
-1,13
1048906,11
1014991,12
-1,22
-1,21
-1,23
-1,24
-1,20
-1,33
-1,32
817754,25
-1,34
-1,31
-1,30
-1,37
-1,36
-1,35
-1,38
884777,26
876801,27
862713,28
893354,29
-1,39
-1,40
-1,41
-1,44
-1,43
-1,42
