attach,https://node.vanityfive.de:443 score: 4.610812675887848 scoreNorm: 0.04796296126894222
20706,0
34270,1
26441,2
8397,3
17340,4
4812,5
18839,6
4060,7
37844,8
13281,9
15322,10
4272,11
18198,12
15558,13
15056,14
19915,15
6052,16
14677,17
17013,18
16867,19
10093,20
7702,21
16477,22
27230,23
5389,24
14928,25
28605,26
6311,27
12137,28
13887,29
12572,30
10739,31
15115,32
5335,33
8100,34
6970,35
7212,36
5103,37
15207,38
5886,39
8941,40
16569,41
2587,42
2954,43
14611,44
