attach,https://iotanode.world:14267 score: 15.099922320588929 scoreNorm: 0.119782443963069
28738,0
45168,1
11394,2
38195,3
14458,4
39796,5
50944,6
40665,8
85694,7
45862,9
23342,10
32058,11
62624,12
23682,13
11009,14
19221,15
50496,16
47752,17
12973,18
83717,19
70236,20
28983,21
49528,22
24434,23
4663,24
28523,25
23005,26
10039,27
15035,28
25125,29
22795,30
37306,31
26329,32
55026,33
120458,34
7499,35
29981,36
15266,37
23590,38
13222,39
38864,40
63676,41
63299,42
31204,43
20996,44
