attach,https://nodes.devnet.thetangle.org:443 score: 1 scoreNorm: 1 OJVGCOQNDCLXSQQTVVQZPSDKVILENKBQMYWFNBWMIDDEHVGTKUNYUAYEKVLKONSDXZTNKOUO9KI99COSY
666,0
4357,1
15740,2
-1,3
-1,4
